Movie Name,Storyline
The Roundup: Punishment,"Detective Ma Seok-do joins the Cyber Investigation Team to nab Baek Chang-ki, a former mercenary and the head of an online gambling organization."
Golam,A mysterious death during work hours in an office puzzles all but only Investigator ASP Sandeep Krishna observes it as a murder.
Kifn,"Teenage Peri's arranged marriage faces troubles. To resolve issues, she revisits family archives from when relatives recorded memories in 2000s Sulaimani after her mother's early death."
Overlord: The Sacred Kingdom,"Momonga, now known as the Sorcerer King Ains Ooal Gown, rallies the Sorcerer Kingdom and its undead army to join the fight alongside the Sacred Kingdom and the Slane Theocracy in hopes to defeat the Demon Emperor Jaldabaoth."
Here Now,Sophie a young Californian traveling in Italy on her vacation with her sister. She meets Giulio and his group of friends with whom she spends the most terrifying night of her life.
Eks,Three compelling stories in one erotic experience. Yen Durano plays three different women in three titillating stories.
April,"Nina, an OB-GYN, faces accusations after a newborn's death. Her life undergoes scrutiny during the investigation. She persists in her medical duties, determined to provide care others hesitate to offer, despite risks."
Compulsion,"On the island of Malta, two women get engaged in a string of horrifying murders."
In Vitro,"On a struggling cattle farm some years in the future, a woman discovers the unsettling consequences of her husband's animal breeding technology."
Love in the Big City,"Misunderstood as more than friends, roommates Jae-hee and Heung-soo navigate the complexities of modern romance in Seoul's big city."
Noise,A woman with a hearing impediment is haunted by sounds linking to her sister's disappearance and the presence of a malevolent spirit.
Unpredictable,"A modern thriller filled with intense sexual tension. Betrayal, jealousy, revenge and lies. A plot full of tension and twists of events."
Saali Mohabbat,"A housewife gets entangled in a tale of infidelity, deceit, and murder."
Outside,"A family seeks refuge on an isolated farm during a zombie apocalypse, but long-buried secrets strain their relationships as they struggle to survive."
Sharp Corner,A dedicated family man becomes obsessed with saving the lives of the car accident victims on the sharp corner in front of his house - an obsession that could cost him everything.
Victory,"A high school dance duo and a soccer team on a remote island. Two girls create a cheer leading club to pursue their love of dance, but they soon find themselves enthusiastically cheering on the soccer team and the entire island."
Kiskisan,"Steamy tale of love, lust, and betrayal. When Adele's sister Bea returns with her girlfriend Cheska, a secret affair begins between Cheska and Adele's boyfriend, Rener, leading to a climactic ending when they're caught."
Graduate with First Class,"Amit navigates love amidst Maya's influence and Niharika's genuine affection, facing choices that shape his fate, unraveling a tale of redemption and tragedy."
Jimmy,"Jimmy, is a narrative feature film imagining the young life of James Baldwin in Paris, newly arrived from New York."
Dear Santa,"When a young boy mails his Christmas wish list to Santa with one crucial spelling error, a devilish Jack Black arrives to wreak havoc on the holidays."
Catch a Killer,"When a horror movie buff gets kicked off the police force, he and his girlfriend hunt a serial killer copy-catting the murders from famous horror films."
The Beautiful Game,Advocates to end homelessness organize an annual tournament for homeless men to compete in a series of football matches known as The Homeless World Cup.
Megamind vs. The Doom Syndicate,"Megamind's former villain team, The Doom Syndicate, has returned. Newly crowned hero Megamind's must now keep up evil appearances until he can assemble his friends to stop his former evil teammates from launching Metro City to the Moon."
No Dogs Allowed,"15-year-old Gabo struggles to control and hide his pedophilic urges, confiding only in online forums where he encounters the manipulative older Dave. When Dave is arrested for suspected abuse of minors, Gabo must make a choice."
The Menendez Brothers,"In 1996, the Menendez brothers faced trial for killing their parents, a case that captivated America. Years later, they share their side through interviews with those involved, offering a fresh take on the events."
Kabitan,"Alice, a depressed mistress, forms a deep emotional and sexual bond with Mika, her neighbor, who is also a mistress. Then, the inevitable happens, they fall for each other."
Cash Out,"Professional thief Mason attempts his biggest heist with his brother, robbing a bank. When it goes wrong, they're trapped inside surrounded by law enforcement. Tension rises as Mason negotiates with his ex-lover, the lead negotiator."
Los Frikis,"Inspired by true events, Los Frikis is a coming-of-age story set in early 90s Cuba where a group of punk rockers in search of freedom deliberately inject HIV to live at a government-run treatment home so they can create their own utopia."
Thine Ears Shall Bleed,"In 1860s America, a minister's family hears an unexplained noise from woods during their wagon journey. Mistaking it for divine presence, they worship until realizing its sinister nature."
Frankie Freako,Workaholic yuppie Conor is in an existential rut until one night he catches a bizarre ad for a party hotline hosted by a strange dancing goblin: Frankie Freako. Could this be just the recipe to spice up his boring life?
Blink,"Chronicles a family's global trip before their children lose vision to a rare genetic disorder, capturing their journey to experience the world's beauty while they can still see it, and preparing for an inevitable future."
Decoded,"In the 1940s, the world was turbulent, and it was crucial to decipher enemy's communication codes timely and accurately. Rong Jinzhen showed a unique talent. He was noticed by more because he accidentally solved the difficult problem."
This Is Me... Now,This narrative-driven odyssey that coincides with the release of her same-named album tells the story of Jennifer Lopez's journey to love through her own eyes.
Skywalkers: A Love Story,"A daring couple travels worldwide to climb the 118-story megatall skyscraper, Merdeka 118, in Kuala Lumpur, Malaysia, attempting a bold acrobatic stunt on the spire to salvage both their career and relationship."
Jane Austen Wrecked My Life,A desperately single bookseller lost in a fantasy world finds herself forced to fulfill her dreams of becoming a writer in order to stop messing up her love life.
Maharaj,"Based on a real-life historic court case, a bold journalist questions a revered leader's immoral behavior."
Sixty Minutes,"Desperate not to lose custody, a mixed martial arts fighter makes dangerous enemies when he ditches a matchup to race to his daughter's birthday party."
Don't Tell Mom the Babysitter's Dead,Tanya's summer plans are canceled when her mom jets off for a last-minute retreat and the elderly babysitter who arrives at her door unexpectedly passes away.
Escape,Follows the struggles of a North Korean sergeant who is chased by a ruthless major after he defects.
Through My Window: Looking at You,"After the events of the summer, Ares and Raquel can't find a way to carry on their relationship and decide to go their separate ways. When they see each other again in winter, the love and attraction they feel for each other is undeniable."
Kangaroo Island,"A struggling Hollywood actress returns home to Kangaroo Island, confronting the love triangle that tore her family apart."
Triangle,"A happily married couple visited by an old friend, who ends up stirring the pot by becoming sexually involved with both the husband and the wife."
The Glassworker,"The life of a young glassblower in training and his relationships over the years, as his land goes through war and strife."
Bad Genius,A group of seniors of an entrepreneurial high school team up to take down a rigged college admissions system.
Hounds of War,"After a mission goes wrong, only one of a group of mercenaries is left alive to take revenge for his brothers."
Hot Frosty,"Widow Kathy magically brings a snowman to life. His innocence helps her heal and find love again. They bond before the holidays, but he's doomed to melt."
Sumala,"Sumala, a name that is feared by people in a village in Semarang Regency from the past until now. No one dares to go out when night falls because Sumala will come to kill."
Block Pass,"Willy and Jojo are childhood friends who never leave each other's side. To beat boredom, they train at the Pampa, a motocross track. One evening, Willy discovers Jojo's secret."
The Shameless,"After killing a cop in a Delhi brothel, Renuka takes refuge in a northern India community of sex workers. There, she begins a forbidden romance with the 17-year-old Devika. Against all odds, they try to forge their path to freedom."
Lick,"Evelyn wakes up in Vegas married to rock star David after blacking out on her 21st birthday. Thrust into his fame, she questions if she can handle his lifestyle as they navigate if their marriage is real or a mistake."
Griffin in Summer,"Fourteen-year-old Griffin Nafly is the most ambitious playwright of his generation. But once he meets handsome twenty-five-year-old handyman Brad, his life and play will never be the same."
Slay,"After a booking mistake, four drag queens find themselves performing for a mostly unwelcoming crowd, but when vampires attack, the crowd looks to the queens to save the day."
Three Friends,"Joan's love fades for Victor while Alice reassures her about her own unfulfilling relationship with Eric. Unbeknownst to Alice, Eric is involved with Rebecca. Their lives spiral after Joan leaves Victor, who goes missing."
Trucker,"A trucker's family is killed in a fiery crash caused by a group of reckless teens. Rescued from the wreckage and nursed back to health by a mysterious old man, the trucker exacts brutal revenge on the teens who destroyed his life."
Init,"When a young barrio lass moves in to the city to study, she lives in a boarding house with other college students. Unknown to them, behind her shy and timid personality is a woman with insatiable hunger for sex."
Housekeeping,"Johan, a housekeeping staff tries to save his marriage by promising his wife that his irregular, unreliable job-hopping days are over. When he finds a bag of money in the hotel, he and other hotel staff Molly and Ah Foo try to get the money out, while escaping gangsters and the police. And in the midst of all this chaos, Johan is also trying to win his wife back."
Mission: Cross,"In the ultimate test of marriage, an agent-turned-househusband gets tangled in a perilous mission with his detective wife, who's clueless about his past."
Camera,"Follows nine-year-old Oscar, a non-verbal child who struggles to fit in, as he meets Eric, a kind repair shop owner, and become unlikely friends after being brought together by a damaged film format camera."
Bang Bang,"Follows 'Bang Bang' Rozyski, an eccentric retired pugilist obsessed with rectifying the sins of his past."
Sound of Hope: The Story of Possum Trot,"The true story of Donna and Reverend WC Martin and their church in East Texas, in which 22 families adopted 77 children from the local foster system, igniting a movement for vulnerable children everywhere."
In the Summers,"On a journey that spans the formative years of their lives, two sisters navigate their loving but volatile father during their yearly summer visits to his home in Las Cruces, New Mexico."
Toxic,"Dreaming of an escape from the bleakness of their hometown, two teens form a unique bond at a local modeling school, where the promise of a better life pushes girls to violate their bodies in increasingly extreme ways."
I Don't Understand You,"Stranded in rural Italy without transportation or language skills, an American couple on the verge of adopting tries to reconnect during a disastrous vacation, as their fears and relationship problems threaten to boil over."
Intoxicated by Love,"Story of Rumi, his friendship with Shams Tabrizi, the love he had for him and the great influence of Shams over him in his life, his poetry and his love for God."
Delivery Run,"A food delivery driver gets caught in a deadly chase in the icy Minnesota wilderness, pursued by a crazed snowplow driver for unknown reasons, facing life-threatening situations and forced to outsmart his relentless pursuer alone."
National Theatre Live: Vanya,"Andrew Scott brings multiple characters to life in Chekhov's Uncle Vanya, filmed live in West End, London. Hopes, dreams, and regrets are thrust into sharp focus in this one-man adaptation which explores the complexities of human emotions."
Boot Camp,"Follows unathletic Whitney Carmichael, who signs up for an intense summer boot camp to reinvent herself and falls for her personal trainer. She then finds the strength to embrace her true self and ignore the others' expectations."
Bonjour Tristesse,Cécile's relaxing summer with her father in the south of France is upended by the arrival of the enigmatic Anne.
Bad Shabbos,An engaged interfaith couple are about to have their parents meet for the first time over a Shabbat dinner when an accidental death gets in the way.
Rez Ball,"The Chuska Warriors, a Native American high school basketball team from New Mexico, must band together after losing their star player if they want to keep their quest for a state championship alive."
Are You There?,"A paranormal psych student's ritual candle starts a deadly game of twenty questions. As wax drips away, she races to survive, learning some mysteries should stay buried."
1978,"During the World Cup final between Argentina and Holland, in times of military dictatorship, a group of torturers kidnap a group of young people. What begins as an inhumane interrogation turns into hell: the wrong group has been kidnapped."
Girls Will Be Girls,"At a strict boarding school nestled in the Himalayan foothills, 18-year-old Mira first discovers desire and romance. However, her curious, rebellious, coming-of-age is disrupted by her young mother, who never got to come of age herself."
Teki Cometh,"A retired professor resides in the Japanese-style home built by his grandfather. He spends his days cooking, occasionally entertaining former students. Until he receives a mysterious message on his computer hinting at impending danger."
Bureau 749,A traumatized young man with physical abnormalities is forced to join a mysterious bureau to confront a disaster spreading across the earth caused by an unknown creature. He embarks on an adventure uncovering mysteries about his life.
F-Buddies,"Jas' boyfriend breaks up with her because she's boring. To prove him wrong, and just to continue to be with him, she agrees to be his f*** buddy."
Guntur Kaaram,"Years after his mother abandons him and remarries, a man demands answers when he's asked to sign a document denying he is her son as she runs for office."
Ultraman: Rising,"Ken Sato is a superstar baseball player who returns to Japan to become the latest hero to carry the mantle of Ultraman. However, he is compelled to raise a newborn kaiju monster, the offspring of his greatest enemy, as his own child."
Hunting Matthew Nichols,"Two decades after her brother mysteriously disappeared on Vancouver Island, a documentary filmmaker sets out to solve his missing person's case. When a disturbing piece of evidence is revealed, she comes to believe he might still be alive."
Depravity,"A group of tenants, suspecting that their neighbor could be is a serial killer, stumble upon an art heist worth millions."
Thug in a Suit,"Many years ago, Zhou Ke broke into a gang den alone and rescued his brother Banuo, but was arrested and imprisoned. Fast forward a few years, Zhou Ke is released from prison and lives a carefree life as Li Fei. Where should Zhou Ke go?"
Buy Now! The Shopping Conspiracy,"Pulls back the curtain on the world's top brands, exposing the hidden tactics and covert strategies used to keep all of us locked in an endless cycle of buying, no matter the cost."
Before Dawn,The journey of fictional WA outback kid Jim Collins and his battalion on the Western Front.
My Hero Academia: You're Next,"Deku, Bakugo, Todoroki and the rest of U.A. High Class 1-A must face off against Dark Might and the obscure crime organisation under his control, the Gollini Family."
One Fast Move,"A young man seeks out his estranged father to pursue his dream of becoming a professional motorcycle racer. With help from his love interest and a motorcycle shop owner, he begins to break down the walls his father's absence had created."
Do Patti,Twin sisters harbouring deep secrets and a determined police inspector seeking to uncover the truth in an attempted murder case.
Players,"A sports writer unused to relationships falls for a fling, leading her to reconsider playing the field in favor of commitment."
Reading Lolita in Tehran,A professor in revolutionary Iran gathers her most dedicated female students to study banned literary classics. Based on Azar Nafisi's beloved memoir.
Phir Aayi Hasseen Dillruba,"While evading the cops in Agra, Rani and Rishu scheme to run away together. But when their plans go awry, Rani asks a mild-mannered admirer for help."
Las super estrellas de la lucha libre,The film tells the story of the wrestling gold era of Puerto Rico. From the beginning to the End.
Dominique,"Trained assassin Dominique, escaping her troubled past, crash lands her plane in a Colombian town rife with violence. Sheltered by a family, she faces attacks from police and must choose between self-preservation or defending her hosts."
Another Cabin in the Woods Movie,"In this tongue-in-cheek spoof, horror-savvy characters are trapped in yet another cabin in the woods, where they are forced to navigate murder and red herrings to uncover who will stop at nothing for their twisted happily ever after."
Little Death,A middle-aged filmmaker on the verge of a breakthrough. Two kids in search of a lost backpack. A small dog a long way from home.
Afternoons of Solitude,"Explores the spiritual pain of bullfighting, the tormented torero in a ring, one of the most excessive and graphic examples of the origin of Southern European civilization"
Boundless,"Detective Mørck and team reopen a cold case on Bornholm Island involving a girl's death, a cult, and missing women. Mørck must solve the case and confront his past to move forward with his fiancée."
Endurance,"Maritime Heritage Trust locates Shackleton's shipwrecked Endurance near Antarctica in 1915. Shackleton and 27 crew survive incredible journey to South Georgia to seek rescue after ship sinks, showcasing human resilience against all odds."
Committee Kurrollu,"In a peaceful West Godavari village, the harmony of a close-knit friend group is disrupted when a disagreement leads to an unexpected fallout, impacting their lives and the tranquility of their community."
Unspoken,"Follows a closeted teenager in a religious community who finds a love letter written to his grandfather by another man, so he sets out to find the person."
Adopted,"A couple's hopes of adopting the perfect child unravel as their new son reveals a dark side, bringing terror into their lives."
Wynonna Earp: Vengeance,Wynonna Earp is coming home to battle her greatest foe yet: a psychotic seductress hellbent on revenge against her...and everyone she loves.
God's Not Dead: In God We Trust,"Amid political and spiritual turmoil, Reverend David Hill steps up to run for Congress. Opponent Peter Kane, aims to erase religion from policy, and the fight becomes a beacon of hope for people seeking moral leadership in a divided world."
The Red Virgin,"Hildegart Rodríguez, a precocious and prolific writer in Spain's 1930s, raised by her mother to become a model of future women."
Code 8: Part II,Follows a girl fighting to get justice for her brother who was slain by corrupt police officers. She enlists the help of an ex-con and his former partner to face off against a highly regarded and well-protected police sergeant.
Jimmy and Stiggs,"A perfect storm of lousy news sees out-of-work filmmaker Jimmy Lang spiral into a bender, during which he claims to have been abducted by aliens, and fearing their return, he contacts his old friend Stiggs to help him gear up for war."
Sew Torn,"A seamstress gets tangled in her own thread after stealing a briefcase from a drug deal gone bad. In an escalating game of cat and mouse, her different choices lead to drastically different outcomes along the way."
Dream Story,"High-society couple's marriage is tested when the husband discovers a secret erotic society and attends a masked ball, ignoring warnings of potential consequences, after his wife admits having fantasies about another man."
10 Lives,"A pampered cat takes for granted the lucky hand he has been dealt after he is rescued and loved by Rose, a kind-hearted and passionate student. When he loses his ninth life, fate steps in to set him on a transformative journey."
Continental Split,"When a fault threatens to split the U.S., a desperate team of seismologists and government agents race to prevent disaster as the clock ticks down."
Vaazhai,"A twelve-year-old boy, Sivanandhan, his mother, sister, and friend navigate life's challenges, where a plantain tree, Vaazhai, becomes a central presence."
Baby Invasion,"An ultra-realistic, multiplayer FPS game follows a group of mercenaries using baby faces as avatars. Tasked with entering mansions of the rich and powerful, players must explore every rabbit hole before time runs out."
Pechi,Revolves around age-old practices such as black magic and witchcraft.
Brats,Centers on 1980s films starring the 'Brat Pack' and their profound impact on the young stars' lives.
Let Go,"Stella juggles demands of young son, moody teen daughter, and distant husband. Chaos ensues until a message prompts a family trip where she must overcome challenges to reunite them."
Scared to Death,"Jasper, a young filmmaker, seizes a chance to direct when his crew attends a seance in a haunted children's shelter. Trapped inside, they're haunted by ghostly orphans and a sinister force."
"My Wife, My Abuser: The Secret Footage","Exposes the disturbing story of Richard Spencer's harrowing experience as he endured two decades of abuse at the hands of his wife, Sheree Spencer."
Hagen,"A reinterpretation of the Nibelungen saga centering on Hagen von Tronje, a Viking who allies himself with the ancient gods and takes up arms against an unscrupulous ruler."
Kill the Jockey,"Remo's self-destructive behavior overshadows his talent. Abril, an upcoming jockey is pregnant by Remo and has to decide between child or continuing to race. They both race for Sirena, a businessman who saved Remo's life in the past ."
Another End,"Two people who have loved each other, and continue to love each other, even after one of them dies."
The Greatest of All Time,"Gandhi is a hostage negotiator, field agent, and spy working for the Special Anti-Terrorist Squad (SATS). After years of service, he is called back for a critical mission that sets him on a dangerous collision course with his own past."
Restless,"A middle-aged empty nester's mundane life is upended when raucous new neighbors move in next door, unleashing potential danger and disruption."
B.O.Y.: Bruises of Yesterday,"A 16-year-old boy who spends the summer with his grandparents falls in love with an older young man, but when tragedy strikes he falls into a dark hole of self-harm, lust, and loneliness."
Blade of Fury,"Knife catcher Pei Xing originally exchanged his life for money as bounty hunter, but after witnessing the killing of people who stood up for justice, he gradually awakened and decided to fight back."
Something in the Water,A group of five friends must fight for their lives in open water after a dream wedding turns into a nightmare.
If I Tell You,"12 year old Michael enjoys a carefree boyhood until the day his mom comes home with a black eye and a busted lip. She won't talk about it, his dad avoids him, his granny shushes him, as Michael strives to unravel the mystery that has altered his once close family."
The Shards,"In Spring 2022 Masha prepares to leave Russia - her homeland that has changed. It turns into chain of unexpected farewells: her mom dies of cancer, her lover flees army conscription, everything including her own old self is falling apart. Her way to cope with the grief is to fixate everything with her camera. Her anger guides her to inner emigration to the local underground scene, which became an escape for young Russians. This kaleidoscope of shards chronicles not only spirit of the time, but the director's personality crumbling against the backdrop of global turmoil."
Taboo: Family Secrets,"The infidelities by patriarch Lukas divide the family. His Son Tyler visit sparks a taboo relationship with his stepmother Amanda, forever altering the dynamics and loyalties after certain revelations."
Music by John Williams,Follows the life of legendary composer John Williams.
Matt and Mara,"A young professor struggles in her marriage, only to meet Matt, a man from her past who wanders onto her university campus."
Traumatika,Mikey's night terrors become reality when his mother begins showing signs of demonic possession. What he's about to experience will haunt him for the rest of his life and claim countless lives across generations.
Federer: Twelve Final Days,Follows the last 12 days of the career of a tennis player considered the best ever as he plays his final tournament.
Mittran Da Challeya Truck Ni,"Satta, a truck driver, wants a practical wife to organize his life. Jindi, an independent woman, desires wealth and luxury. Their clashing paths lead to an unconventional relationship defying traditional romance norms."
Rabb Da Radio 3,"A village of 22 families living in harmony faces upheaval when a highway project inflates land values. Greed ignites conflict among relatives, fracturing once-strong bonds. Amid the chaos, one man refuses to compromise his principles."
How to Rob a Bank,"In this true-crime documentary, a charismatic rebel in 1990s Seattle pulls off an unprecedented string of bank robberies straight out of the movies."
Babes,"Lifelong friends Eden and Dawn, one single and wanting a baby, the other already a mother, navigate challenges to their bond when Eden pursues pregnancy alone after a one-night stand."
Private Tutor,"Joy, a struggling teacher, tutors Erica. Erica's wealthy widower father Gordon and Erica develop feelings for Joy, who is dissatisfied with her partner Vigo's lack of support."
The Greatest Night in Pop,"On January 28th 1985, dozens of the era's most popular musicians gathered in Los Angeles to record a charity single for African famine relief. Setting egos aside, they collaborated on a song that would make history."
A Nice Jewish Boy,"Follow Bellisha, a Jewish man who lives with his mother, Giselle. The suburb where they live has seen the synagogue shut down, and now the last remaining Kosher grocery story is closing. They are officially the last Jews living there."
Guns & Moses,A beloved small town rabbi in the high desert becomes an unlikely gunslinger after his community is violently attacked.
River of Blood,Four kayakers take the wrong river into a jungle inhabited by a tribe of merciless cannibals.
The Present,"A brilliant boy discovers that he can manipulate time using a family heirloom. He soon teams up with his siblings in returning to the time of their parents' separation, with hopes of changing the outcome."
Two to One,"After the fall of the Berlin Wall, a communist family discovers a bunker full of money soon to be worthless. With the help of their neighbors, they embark on a race against time to enter the capitalist world in style."
Vettaiyan,Ruthless criminal activity is met with force from a maverick police officer with a disregard for the rules as he confronts an outbreak of lawlessness.
Magpie,A couple find their lives turned upside-down when their daughter is cast alongside a controversial major star.
Yolo,"After an argument with her younger sister, Le Ying moves out on her own. She meets a boxing trainer and starts boxing."
Family Secrets: The Disappearance of Alissa Turney,"Sarah Turney became a viral sensation when she posted suspicions on social media that her dad killed her sister, Alissa. Now Sarah, re-examines her and Alissa's childhood."
Winter in Sokcho,"A young Korean girl's life takes an unexpected turn when a French artist visits her country, disrupting her routine."
"Oh, Canada","Leonard Fife, one of sixty thousand draft evaders and deserters who fled to Canada to avoid serving in Vietnam, shares all his secrets to de-mythologize his mythologized life."
Cheech & Chong's Last Movie,"Exploring their 5-decade career performing stand-up, making records, and starring in hit films. It covers their lives, comedy partnership, and lasting influence on pop culture."
Sugarcane,An investigation into abuse and missing children at an Indian residential school sparks a reckoning on the nearby Sugarcane Reserve.
Levels,"After witnessing his girlfriend's murder, a man risks everything - including reality itself - to discover the truth."
Half Baked: Totally High,Three potheads sell a strain of magical weed to raise funds for their friend's funeral.
The Fable,"After discovering burned trees in his orchards, a wealthy landowner grows suspicious of his workers and nomads passing through his vast estate."
"Love, Divided",Valentina is a young pianist starting over. Her neighbor David is an inventor who hates noise. And a paper-thin wall is about to become their matchmaker.
Reawakening,A couple whose daughter aged 14 went missing and then reappears after a decade.
Mother Mara,"Mara's life is disrupted by the sudden death of her only son. Through a relationship with a younger man, she tries to face the loss and find a way to move on."
Heavier Trip,"Impaled Rektum, a band, is in jail but must escape when the guitarist's father falls ill and their family home/business faces demolition. They receive an offer to play a major festival but decline due to being imprisoned and unprepared."
Spin the Bottle,The story of a group of teenagers in small town Texas who unleash a deadly force after playing the famous game in an abandoned house where a grisly massacre once took place.
Simarik,"This is the story of Mete, the spoiled son of a wealthy businessman whose father makes him believe he has reincarnated as a servant in a 16th-century Ottoman city."
"Palipat-lipat, papalit-palit",A guest turns into nightmare. Story revolves around protagonist and his wife. An Unwanted guest and her desire ruins their personal life. See who wins between lust and love.
Black Box Diaries,"Journalist Shiori Ito investigates her own sexual assault, seeking to prosecute the high-profile offender. Her quest becomes a landmark case, exposing Japan's outdated judicial and societal systems."
Riefenstahl,"Explores Leni Riefenstahl's artistic legacy and her complex ties to the Nazi regime, juxtaposing her self-portrayal with evidence suggesting awareness of the regime's atrocities."
The Beast Within,"After a series of strange events leads her to question her family's isolated life on a fortified compound deep in the English wilds, 10-year-old Willow follows her parents on one of their secret late-night treks to the heart of the forest."
The Colors Within,A girl who can see colors in people's hearts joins a band with two other people.
Country Rain,"Pete Ford is a country music artist at the top of his career. He loves performing more than anything, except his wife, Angie. When she shows up and tells him she's done, Pete has to decide what he's willing to give up to build a family."
A Place Called Silence,"Chen Yutong, a girl's middle school student, was bullied at school, but her mother Li Han was unable to save her daughter from the ""hell"". Everyone around her turned a blind eye, and a collective silence brewed greater violence."
Quisling: The Final Days,Five years of occupation during WW2 ends in Norway. Vidkun Quisling is in prison for treason and is to be held accountable for his actions. Can a priest help him find peace of mind? Can the traitor with big thoughts about himself repent?
An Ordinary Case,"A man is accused of murdering his wife. His lawyer must defend him against all odds, and especially against himself."
Holy Cow,"Totone's carefree teenage life of drinking and dancing takes a turn when he must provide for his 7-year-old sister. Seeking income, he channels his energy into producing an award-winning comté cheese to claim a competition prize."
"Love, Danielle","Amid family drama and dysfunction, a woman who carries a BRCA gene mutation must decide whether or not to remove her breasts and ovaries to reduce her cancer risk."
Striking Rescue,A veteran Muay Thai expert goes on a take-no-prisoners mission of revenge after his wife and daughter are brutally murdered by mysterious forces.
Daughters,"Four young girls prepare for a special Daddy/Daughter Dance with their incarcerated fathers as part of a unique fatherhood program in a Washington, D.C. jail."
Crew,Follows three hard-working women as their destinies lead to some unwarranted situations and they end up caught in a web of lies.
"Everything Fun You Could Possibly Do in Aledo, Illinois",Two childhood friends reunite for their high school reunion and decide to complete their senior year bucket list.
A Mother's Embrace,"During massive 1996 Rio storm, firefighter Ana and her firefighter team must evacuate a collapsing nursing home, but the mysterious residents have other sinister plans."
Family Affairs,"Teresa's daughters and her mother-in-law, a nonagenarian with senile dementia, arrive at her house. The daughters will meet their mother and grandmother at a family reunion to commemorate the anniversary of their father's death."
Desert Road,A woman crashes her car and walks down the road for help - only to find no matter which way she walks she ends up back at her crashed car again.
Boss Ma'am,"When a terror female boss was blackmailed by her assistant, she has no choice but to obey and play with her."
Ataturk II: 1881-1919,"After proving himself at Gallipoli in 1915, Mustafa Kemal began his journey, facing major battles against Russians on the eastern front and British in Syria, becoming the only undefeated Ottoman officer in WW1."
Turn Me On,"Under the control of a pill that eradicates human emotion, a young couple skip doses and discover new feelings, but realize that comes with emotional baggage to deal with."
Within the Pines,"As sound recordist Sam Evans treks through an isolated forest, his mic picks up a sound no one wants to hear while alone in the woods."
Christmas Eve in Miller's Point,"On Christmas Eve, a family gathers for what could be the last holiday in their ancestral home. As the night wears on and generational tensions arise, one of the teenagers sneaks out with her friends to claim the wintry suburb for her own."
The Visitor,"A refugee arrives at the home of an upper-class family in London and seduces each member of the family. When he suddenly is gone, he leaves behind a void that the rest try to fill in different ways."
Motel Destino,"Under the burning sky on a roadside on the coast of Ceará, Motel Destino is the scene of dangerous games of desire, power and violence. One night, the arrival of young Heraldo definitively transforms the daily life of the place."
The Wages of Fear,"In order to prevent a deadly explosion, an illicit crack team has 24 hours to drive two truckloads of nitroglycerine across a desert laden with danger."
Little Bites,"In a desperate attempt to protect her ten-year-old daughter, a young widow allows a nightmarish monster to slowly eat her alive."
Anaconda,"A re-interpretation of the iconic '90s creature feature, in which a group of circus athletes - having found themselves stranded in a rain forest - come face-to-face with the elements, a bloodthirsty poacher, and a formidable giant snake."
Himas,Dana is wife to a blind ex-fireman who is unable to satisfy his wife's physical needs due to his condition. A young man enters the picture and lures Dana to a sinful relationship to satisfy her sexual frustrations.
Inside the Mind of a Dog,Embark on a delightful journey into the world of dogs in this documentary that reveals scientific and emotional insights about our lovable BFFs.
Silent Love,"Just love. In this complicated and muddy age, this is the most sad love story of this winter, gently holding up a transparent pure love."
Beatles '64,The capture of the electrifying moment of The Beatles' first visit to the United States.
Main Atal Hoon,"Follows the extraordinary life and political journey of Shri Atal Bihari Vajpayee, an iconic figure in Indian politics and delves into the multifaceted persona of Vajpayee Ji, capturing his essence as a poet, a gentleman, and a statesman."
Madgaon Express,The journey of three childhood friends who embark on a trip to Goa that goes completely off-track.
Abraham Ozler,"Revolves around the personal and professional lives of veteran cop Abraham Ozler, ACP Trichur, who at one time has to take up a serial killing case and the mysterious hunt begins."
Teri Baaton Mein Aisa Uljha Jiya,"Aryan is not able to find a perfect life partner. He meets a perfect girl, Sifra, during an official assignment in the US and falls in love with her only to discover later that it's an impossible love story."
The Compatriots,"Javi is undocumented and on the verge of being deported, when he bumps into his estranged best friend Hunter, a boisterous bachelor yearning for connection. Together, they fight to keep Javi in the only country he's ever known."
"LSD 2: Love, Sex Aur Dhokha 2","Complexities of modern relationships and self-discovery in the high-tech age are explored through interconnected stories of love, friendship, and identity."
Oye Bhole Oye,"Bhola's quest for work in the city leads him to Aveera, a rich woman drawn to his simple life. But their romance faces trouble when Bhola must save his village."
Tom Petty: Heartbreakers Beach Party,"Lost 16mm reels documenting Tom Petty and the Heartbreakers' 1982-1983 'Long After Dark' album cycle, including footage originally aired on MTV in 1983."
Wild Wild Space,"Focus on the intense rivalry between two visionaries and founders of contesting rocket companies, Chris Kemp and Peter Beck."
The Investigation,"In 1963 former SS soldiers are tried for their involvement in running the Auschwitz camp. Witnesses and defendants take the stand, some describing the worst of which humanity is capable, others hiding behind procedures and orders."
A Christmas Castle Proposal: A Royal in Paradise 2,"Despite busy schedules causing distance, Olivia and Prince Alexander travel to Torovia for Christmas with his family. Clashing cultures between their families lead to various mishaps."
Given 3: To the Sea,"The final installment of the Given series, Given 3 takes place after the events of Hiiragi Mix and focuses on the continuing relationships between the core characters."
American Star,"An assassin on a final assignment in Fuerteventura, to kill a man he has never met. When his target is delayed, he finds himself drawn to the island, people and a ghostly shipwreck."
